Date,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
01/01/2019,517.0,364.0,898.0,1627.0,1372.0,1043.0,1155.0
01/02/2019,517.0,364.0,1094.0,1354.0,1387.0,1039.0,918.0
01/03/2019,517.0,364.0,1168.0,1352.0,1299.0,1032.0,732.0
01/04/2019,517.0,364.0,1158.0,1534.0,1272.0,1105.0,874.0
01/05/2019,517.0,364.0,838.0,1414.0,1333.0,1165.0,874.0
01/06/2019,517.0,364.0,838.0,1197.0,1151.0,977.0,875.0
01/07/2019,517.0,364.0,1302.0,1287.0,1238.0,948.0,817.0
01/08/2019,517.0,364.0,1231.0,1491.0,1326.0,1017.0,940.0
01/09/2019,517.0,364.0,1430.0,1521.0,1409.0,1131.0,875.0
01/10/2019,517.0,364.0,1275.0,1543.0,1622.0,1105.0,893.0
01/11/2019,517.0,364.0,1339.0,1376.0,1346.0,1198.0,856.0
01/12/2019,517.0,364.0,972.0,1324.0,1197.0,1167.0,922.0
01/13/2019,517.0,364.0,883.0,1264.0,1163.0,975.0,893.0
01/14/2019,517.0,364.0,1572.0,1375.0,1352.0,1000.0,785.0
01/15/2019,517.0,364.0,1419.0,1434.0,1504.0,1083.0,795.0
01/16/2019,517.0,364.0,1471.0,1694.0,1755.0,1219.0,733.0
01/17/2019,517.0,364.0,1686.0,1833.0,1795.0,1288.0,1015.0
01/18/2019,517.0,364.0,1650.0,1774.0,1738.0,1210.0,840.0
01/19/2019,517.0,364.0,891.0,1454.0,1392.0,1339.0,943.0
01/20/2019,517.0,364.0,870.0,1405.0,1209.0,1041.0,967.0
01/21/2019,517.0,364.0,1659.0,1616.0,1602.0,1058.0,818.0
01/22/2019,517.0,364.0,1447.0,1655.0,1646.0,1133.0,919.0
01/23/2019,517.0,364.0,1901.0,1689.0,1668.0,1199.0,791.0
01/24/2019,517.0,364.0,1442.0,2032.0,1910.0,1418.0,925.0
01/25/2019,517.0,364.0,1676.0,1685.0,1806.0,1351.0,945.0
01/26/2019,517.0,364.0,963.0,1576.0,1415.0,1235.0,943.0
01/27/2019,517.0,364.0,876.0,1285.0,1361.0,1061.0,975.0
01/28/2019,517.0,364.0,1449.0,1428.0,1561.0,1070.0,848.0
01/29/2019,517.0,364.0,1362.0,1476.0,1504.0,1169.0,790.0
01/30/2019,517.0,364.0,1531.0,1751.0,1752.0,1222.0,959.0
01/31/2019,517.0,364.0,1525.0,1697.0,1771.0,1290.0,904.0
02/01/2019,517.0,364.0,1563.0,1485.0,1699.0,1261.0,973.0
02/02/2019,517.0,364.0,903.0,1387.0,1357.0,1237.0,927.0
